Regulator	Target	MI	pvalue
FOXM1	MYC	0.2615891698251044	4.8394948048979813E-8
HSF1	EML3	0.4022791111315467	3.940167240132908E-4
RXRB	C17orf81	0.4288078372484796	0.0
MTF1	BCKDHA	0.3132633328294334	0.0
FOXM1	NCL	0.2852428430165097	1.0188410115574698E-9
HLF	TMEM14A	0.3716472881746631	3.158407135828156E-7
FOXM1	NF2	0.281269729001427	0.0
ELF2	KDM3A	0.3556000445708408	0.0
TFAP2A	MFSD6L	0.27100695496827193	3.940167240132908E-4
ELF2	BAZ2B	0.3913588443294731	3.940167240132908E-4
ELF2	KDM1B	0.3373055542376328	0.0021178727916457696
DBP	FBXW4	0.3304320230325859	0.0
GABPB2	FBXL4	0.34501734998483213	0.0
NR2F2	PLK3	0.43131273817471233	0.0
HSF1	ELL2	0.6025580381655811	0.0
ETS2	MAP3K8	0.3695751527626257	0.0
RUNX1	LOC401321	0.29542936314350515	0.0021178727916457696
HSF2	DTHD1	0.4396356858251934	0.0
ATF6	NARFL	0.4227287481726305	1.698068352595783E-10
IRF7	HLF	0.41077811525957747	1.698068352595783E-10
E4F1	FAM18B1	0.3926611542292109	1.205170051887805E-5
RELA	KCTD2	0.3525734671764342	1.0188410115574698E-9
NR1H3	BOD1L	0.33636779174104053	0.0
GABPA	RICTOR	0.5664702134483535	1.698068352595783E-10
RELA	ZC3H14	0.35440773502615897	3.940167240132908E-4
NR1H3	TREM2	0.2684484122053753	0.0
TP53	TMPRSS2	0.25730665827992605	0.0
TFAP2C	CLDND1	0.30005968865030763	1.0188410115574698E-9
SPI1	SLAMF7	0.47877811133232145	1.987589006713364E-6
ITGAL	SMAP2	0.6364657307968582	0.0
ESRRA	KIAA1429	0.3764955595386578	7.030614284353476E-5
REL	C17orf61	0.4365346736712898	3.940167240132908E-4
RB1	RPS6KC1	0.34939971619012083	0.0
ETS2	PSEN1	0.3197350559674372	0.010898789878996062
ATF1	AMN1	0.28516019167607565	0.010898789878996062
YY1	FAM166B	0.27837582905706354	7.030614284353476E-5
ATF6	RANBP2	0.47123360120257796	0.0
HSF2	C9orf171	0.3985280047866303	4.8394948048979813E-8
ATF3	DAPP1	0.32117816165372437	7.030614284353476E-5
AHR	ERCC1	0.5367012124184461	0.0
